Pagenum,Response,Number of people / Jinhao,House in / Jinhao,Number of people / Max,House in / Max,Site(AB:1/CS:2),identical?,disagreement on people,disagreement on in/out
749,,1,0,1,0,1,1,,
750,,1,0,1,0,2,1,,
751,,1,0,1,0,1,1,,
752,,1,1,1,1,2,1,,
753,,1,0,1,0,1,1,,
754,,3,0,3,0,2,1,,
755,,1,0,1,0,1,1,,
756,,2,0,2,0,2,1,,
757,,1,0,1,0,1,1,,
758,,1,0,1,0,2,1,,
759,,2,0,2,0,1,1,,
760,,1,1,1,1,2,1,,
761,,1,0,1,0,1,1,,
762,,1,0,2,1,2,0,1,1
763,,4,0,4,0,1,1,,
764,,1,0,1,0,2,1,,
765,,1,0,1,0,1,1,,
766,,2,0,2,0,2,1,,
767,,1,0,1,0,1,1,,
768,,1,0,1,0,2,1,,
769,,1,0,1,0,1,1,,
770,,1,0,1,0,2,1,,
771,,1,0,1,0,1,1,,
772,,1,0,1,0,2,1,,
773,,1,0,1,0,1,1,,
774,,0,0,0,0,2,1,,
775,,3,0,3,0,1,1,,
776,,2,0,2,0,2,1,,
777,,0,0,0,0,1,1,,
778,,1,0,1,0,2,1,,
779,,1,0,1,0,1,1,,
780,,1,0,1,0,2,1,,
781,,1,0,1,0,1,1,,
782,,1,0,1,0,2,1,,
783,,1,0,1,0,1,1,,
784,,2,0,2,0,2,1,,
785,,1,1,1,0,1,0,,1
786,,1,0,1,0,2,1,,
787,,0,0,0,0,1,1,,
788,,1,1,1,0,2,0,,1
789,,1,0,1,0,1,1,,
790,,1,1,1,1,2,1,,
791,,1,0,1,0,1,1,,
792,,1,0,1,0,2,1,,
793,,2,0,2,0,1,1,,
794,,2,1,2,1,2,1,,
795,,1,0,1,0,1,1,,
796,,1,0,1,1,2,0,,1
797,,1,0,1,0,1,1,,
798,,2,0,2,0,2,1,,
799,,1,0,1,0,1,1,,
800,,2,0,2,0,2,1,,
801,,1,0,1,0,1,1,,
802,,1,0,1,0,2,1,,
803,,4,0,4,0,1,1,,
804,,1,1,1,1,2,1,,
805,,1,0,1,0,1,1,,
806,,2,0,2,0,2,1,,
807,,1,0,1,0,1,1,,
808,,1,1,1,1,2,1,,
809,,1,1,1,1,1,1,,
810,,1,0,1,0,2,1,,
811,,1,1,1,1,1,1,,
812,,2,0,2,0,2,1,,
813,,2,0,2,0,1,1,,
814,,3,0,3,0,2,1,,
815,,1,0,1,0,1,1,,
816,,1,0,1,0,2,1,,
817,,1,1,1,1,1,1,,
818,,2,0,2,0,2,1,,
819,,1,1,1,1,1,1,,
820,,1,0,1,0,2,1,,
821,,1,0,1,0,1,1,,
822,,1,0,1,0,2,1,,
823,,1,0,1,0,1,1,,
824,,0,0,0,1,2,0,,1
825,,1,0,1,0,1,1,,
826,,1,0,1,0,2,1,,
827,,1,0,1,0,1,1,,
